gene_id	gene_name	population	time_condition	mean_normalized_count	sem_normalized_count	n_samples	plot_expression
ENSMUSG00000021139	Gm20498	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092252	Gm20499	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092252	Gm20499	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092252	Gm20499	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092252	Gm20499	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092266	Gm20500	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092266	Gm20500	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092266	Gm20500	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092266	Gm20500	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092536	Gm20501	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092536	Gm20501	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092536	Gm20501	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092536	Gm20501	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092345	Gm20503	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092345	Gm20503	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092345	Gm20503	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000092345	Gm20503	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092222	Gm20506	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000092222	Gm20506	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000092222	Gm20506	CD103-Tom- LP Trm	Baseline	4.4429918464589955	4.4429918464589955	2	5.4429918464589955
ENSMUSG00000092222	Gm20506	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
